/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
a 11: [11 VBD21] 
a+genboght 1: [1 VBD] 
a+genstodyn 1: [1 VBD] 
a+genstood 2: [2 VBD] 
a+geyn-seid 1: [1 VBD] 
a+geynestode 1: [1 VBD] 
a+geynestoden 2: [2 VBD] 
a+geynstode 2: [2 VBD] 
a-bod 1: [1 VBD] 
a-bode 6: [6 VBD] 
a-bood 4: [4 VBD] 
a-boode 1: [1 VBD] 
a-cwaldest 1: [1 VBD] 
a-drow 1: [1 VBD] 
a-gunnen 1: [1 VBD] 
a-hef 1: [1 VBD] 
a-hongeden 1: [1 VBD] 
a-lei 1: [1 VBD] 
a-noyntyd 1: [1 VBD] 
a-prevyd 1: [1 VBD] 
a-rayde 1: [1 VBD] 
a-ros 2: [2 VBD] 
a-steh 1: [1 VBD] 
a-sytyd 1: [1 VBD] 
abad 2: [2 VBD] 
abaysshed 1: [1 VBD] 
abedyn 3: [3 VBD] 
abeh 2: [2 VBD] 
abelh 1: [1 VBD] 
aber 2: [2 VBD] 
abide 2: [2 VBD] 
abiden 3: [3 VBD] 
ablende 1: [1 VBD] 
ableow 1: [1 VBD] 
ableu 1: [1 VBD] 
ablynt 1: [1 VBD] 
abod 4: [4 VBD] 
abode 27: [27 VBD] 
aboden 1: [1 VBD] 
aboghte 1: [1 VBD] 
abohton 1: [1 VBD] 
abood 11: [11 VBD] 
abreid 1: [1 VBD] 
absentede 1: [1 VBD] 
absentyde 1: [1 VBD] 
abstaynet 1: [1 VBD] 
abyde 1: [1 VBD] 
abydyn 1: [1 VBD] 
acaste 1: [1 VBD] 
acceptede 1: [1 VBD] 
acceptide 1: [1 VBD] 
accomplysshed 1: [1 VBD] 
accompted 1: [1 VBD] 
accorded 1: [1 VBD] 
accordede 2: [2 VBD] 
accordeden 1: [1 VBD] 
accordyd 1: [1 VBD] 
accounted 1: [1 VBD] 
accused 4: [4 VBD] 
accusiden 1: [1 VBD] 
accusyd 1: [1 VBD] 
accusyt 1: [1 VBD] 
achte $achte 3: [3 VBD] 
achtest 1: [1 VBD] 
acolede 1: [1 VBD] 
acorded 3: [3 VBD] 
acordede 1: [1 VBD] 
acordeden 2: [2 VBD] 
acordyd 1: [1 VBD] 
acorede 1: [1 VBD] 
acorsede 1: [1 VBD] 
acoupede 1: [1 VBD] 
acou~tyd 1: [1 VBD] 
acsode 1: [1 VBD] 
acursede 2: [2 VBD] 
acurseden 1: [1 VBD] 
acusodon 1: [1 VBD] 
acwalde 1: [1 VBD] 
