/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Fri Jan 14 13:27:46 CET 2022

command file:     verblex_perfect.q
output file:      verblex_perfect.out

Lexicon:  
*/

/*  ~A~  */
a-go 1: [1 VBN] 
a-gult 1: [1 VBN] 
a-poyntyd 1: [1 VBN] 
a-restyd 1: [1 VBN] 
a-risen 1: [1 VBN] 
a-shamed 1: [1 VBN] 
a-steynt 1: [1 VBN] 
abeden 1: [1 VBN] 
abedyn 2: [2 VBN] 
abide 2: [2 VBN] 
aboht 1: [1 VBN] 
absteynd 1: [1 VBN] 
abyden 1: [1 VBN] 
abydyn 1: [1 VBN] 
accused 2: [2 VBN] 
accuset 1: [1 VBN] 
accusyd 1: [1 VBN] 
acomen 1: [1 VBN] 
acursed 1: [1 VBN] 
acurset 1: [1 VBN] 
acused 2: [2 VBN] 
addledd 2: [2 VBN] 
adreint 1: [1 VBN] 
afalle 1: [1 VBN] 
afendyt 1: [1 VBN] 
agan 1: [1 VBN] 
agast 1: [1 VBN] 
agelt 1: [1 VBN] 
agilt 12: [12 VBN] 
agoo 4: [4 VBN] 
agray+ted 1: [1 VBN] 
agult 1: [1 VBN] 
agunnen 1: [1 VBN] 
agylt 1: [1 VBN] 
akest 1: [1 VBN] 
ali+gt 1: [1 VBN] 
aly+gt 1: [1 VBN] 
alyght 1: [1 VBN] 
ambreued 1: [1 VBN] 
amended 2: [2 VBN] 
amendid 4: [4 VBN] 
anientissed 1: [1 VBN] 
answered 2: [2 VBN] 
answeryd 1: [1 VBN] 
aparailed 1: [1 VBN] 
apechet 1: [1 VBN] 
apeyred 1: [1 VBN] 
approved 2: [2 VBN] 
apropred 1: [1 VBN] 
ar+ared 1: [1 VBN] 
areared 1: [1 VBN] 
areisid 1: [1 VBN] 
arered 1: [1 VBN] 
arerede 1: [1 VBN] 
arestyd 2: [2 VBN] 
arise 1: [1 VBN] 
arisen 5: [5 VBN] 
arryued 1: [1 VBN] 
arryuede 7: [7 VBN] 
arud 1: [1 VBN] 
aryse 1: [1 VBN] 
arysen 1: [1 VBN] 
ascaped 2: [2 VBN] 
ascendet 1: [1 VBN] 
aschaped 1: [1 VBN] 
asked 2: [2 VBN] 
askid 1: [1 VBN] 
askyd 1: [1 VBN] 
asoyld 1: [1 VBN] 
aspied 1: [1 VBN] 
aspyed 7: [7 VBN] 
assaied 1: [1 VBN] 
assaiede 1: [1 VBN] 
assailled 1: [1 VBN] 
assayde 3: [3 VBN] 
assayed 7: [7 VBN] 
assembled 1: [1 VBN] 
assemblede 2: [2 VBN] 
assemblid 1: [1 VBN] 
assentyd 1: [1 VBN] 
assentyt 1: [1 VBN] 
assigned 1: [1 VBN] 
assoilede 1: [1 VBN] 
asygnyd 1: [1 VBN] 
atleien 2: [2 VBN] 
atlein 1: [1 VBN] 
aturned 1: [1 VBN] 
auancede 1: [1 VBN] 
auulsed 1: [1 VBN] 
avaunced 1: [1 VBN] 
avowed 1: [1 VBN] 
avowet 1: [1 VBN] 
awackned 1: [1 VBN] 
awarpen 2: [2 VBN] 
aweld 1: [1 VBN] 
awwnedd 2: [2 VBN] 
axed 1: [1 VBN] 
axede 1: [1 VBN] 
axid 2: [2 VBN] 
/*  ~B~  */
bannyd 2: [2 VBN] 
baptisede 2: [2 VBN] 
bawmed 1: [1 VBN] 
be+to+gt 1: [1 VBN] 
be-com 3: [3 VBN] 
be-come 1: [1 VBN] 
be-falle 1: [1 VBN] 
be-haldyn 1: [1 VBN] 
be-hestyd 1: [1 VBN] 
be-hygth 1: [1 VBN] 
be-hyte 2: [2 VBN] 
be-kome 1: [1 VBN] 
be-smiten 1: [1 VBN] 
be-trayde 1: [1 VBN] 
beboden 2: [2 VBN] 
bebyri+ged 1: [1 VBN] 
beclept 1: [1 VBN] 
becom 3: [3 VBN] 
become 1: [1 VBN] 
becomen 1: [1 VBN] 
beden 2: [2 VBN] 
bedenn 2: [2 VBN] 
bedon 1: [1 VBN] 
bedyn 1: [1 VBN] 
befallen 1: [1 VBN] 
befallyn 1: [1 VBN] 
beflogen 1: [1 VBN] 
begete 1: [1 VBN] 
beggyd 1: [1 VBN] 
begon 3: [3 VBN] 
begonn 1: [1 VBN] 
begonne 1: [1 VBN] 
begonnen 1: [1 VBN] 
begoten 1: [1 VBN] 
begune 1: [1 VBN] 
begunnon 1: [1 VBN] 
begyld 1: [1 VBN] 
begyled 2: [2 VBN] 
behaten 2: [2 VBN] 
behestyd 5: [5 VBN] 
behet 1: [1 VBN] 
behite 3: [3 VBN] 
beholden 2: [2 VBN] 
behote 5: [5 VBN] 
behoten 2: [2 VBN] 
behyght 2: [2 VBN] 
behyte 1: [1 VBN] 
beieten 1: [1 VBN] 
beleued 1: [1 VBN] 
$ben 1: [1 VBN] 
benomme 2: [2 VBN] 
beoldedd 1: [1 VBN] 
ber 1: [1 VBN] 
berauffte 1: [1 VBN] 
berid 1: [1 VBN] 
besoght 1: [1 VBN] 
beswiken 6: [6 VBN] 
beswonken 1: [1 VBN] 
bet 9: [9 VBN] 
betaht 1: [1 VBN] 
beteald 1: [1 VBN] 
beteht 1: [1 VBN] 
beten 1: [1 VBN] 
bethought 1: [1 VBN] 
betrayde 2: [2 VBN] 
betrayed 4: [4 VBN] 
bette 1: [1 VBN] 
betten 1: [1 VBN] 
beuolen 3: [3 VBN] 
bewedded 1: [1 VBN] 
bi+geten 6: [6 VBN] 
bi-+geten 1: [1 VBN] 
bi-haten 1: [1 VBN] 
bi-so+gt 1: [1 VBN] 
bichearret 1: [1 VBN] 
bicumen 2: [2 VBN] 
bifallen 1: [1 VBN] 
bifolen 1: [1 VBN] 
bifongen 1: [1 VBN] 
bigete 2: [2 VBN] 
bigeten 5: [5 VBN] 
bigged 1: [1 VBN] 
biggid 1: [1 VBN] 
bigilede 2: [2 VBN] 
bigonne 6: [6 VBN] 
bigonnen 2: [2 VBN] 
$bigunne bigunne 3: [3 VBN] 
bigunnen 10: [10 VBN] 
bigunnenn Bigunnenn 2: [2 VBN] 
bihalden 1: [1 VBN] 
bihaten $bihaten 8: [8 VBN] 
bihelden 1: [1 VBN] 
bihight 1: [1 VBN] 
biholde 1: [1 VBN] 
bihoten 1: [1 VBN] 
bileaued $bileaued 2: [2 VBN] 
bileued 3: [3 VBN] 
bilummpenn 1: [1 VBN] 
bimurnen 1: [1 VBN] 
binumen 2: [2 VBN] 
biraft 1: [1 VBN] 
bireued 1: [1 VBN] 
bireused 1: [1 VBN] 
biryed 1: [1 VBN] 
biseged 1: [1 VBN] 
bisegede 4: [4 VBN] 
biset 3: [3 VBN] 
bisocht 1: [1 VBN] 
bitaht 1: [1 VBN] 
bitaken 1: [1 VBN] 
biteuelit 1: [1 VBN] 
bitoch+gen 1: [1 VBN] 
bitraiede 2: [2 VBN] 
bitrummet 1: [1 VBN] 
biwreyed 1: [1 VBN] 
blakyd 1: [1 VBN] 
bled 1: [1 VBN] 
blessid 1: [1 VBN] 
blessyd 1: [1 VBN] 
blisced 1: [1 VBN] 
blissed 1: [1 VBN] 
blowen 1: [1 VBN] 
blowyn 1: [1 VBN] 
blyndid 1: [1 VBN] 
bo+gt 1: [1 VBN] 
boden 2: [2 VBN] 
boght 3: [3 VBN] 
boghte 2: [2 VBN] 
boht 1: [1 VBN] 
bond 1: [1 VBN] 
bonedd 2: [2 VBN] 
bore 2: [2 VBN] 
born 10: [10 VBN] 
borne 3: [3 VBN] 
borun 1: [1 VBN] 
borwyd 2: [2 VBN] 
boryn 1: [1 VBN] 
bou+gt 1: [1 VBN] 
bought 1: [1 VBN] 
bouht 1: [1 VBN] 
bounde 1: [1 VBN] 
bounden 1: [1 VBN] 
boute 1: [1 VBN] 
bowede 1: [1 VBN] 
bowht 1: [1 VBN] 
bowndyn 1: [1 VBN] 
bowt 3: [3 VBN] 
bowte 1: [1 VBN] 
brent 5: [5 VBN] 
brente 1: [1 VBN] 
broght 4: [4 VBN] 
brohht Brohht 2: [2 VBN] 
broht 3: [3 VBN] 
broke 3: [3 VBN] 
broken 3: [3 VBN] 
brokin 1: [1 VBN] 
brokyn 4: [4 VBN] 
brostyn 2: [2 VBN] 
brou+gt 11: [11 VBN] 
brought 11: [11 VBN] 
broughte 2: [2 VBN] 
brout 1: [1 VBN] 
broute 1: [1 VBN] 
browt 8: [8 VBN] 
browte 1: [1 VBN] 
bund 1: [1 VBN] 
