/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
+agne 1: [1 VBP] 
$a a 4: [2 HVP] [2 VBP21] 
a+gaynestondyth 1: [1 VBP] 
a+gc 1: [1 VBP] 
a+ge+d 1: [1 VBP] 
a+gefe 1: [1 VBP] 
a+gen 2: [2 VBP] 
a+gensei+t 1: [1 VBP] 
a+genseith 1: [1 VBP] 
a+gensie 1: [1 VBP] 
a+geoue 1: [1 VBP] 
a+gest 2: [2 VBP] 
a+geyn-calle+t 1: [1 VBP] 
a+gulte+d 1: [1 VBP] 
a+trusme+d 1: [1 VBP] 
a-cangest 1: [1 VBP] 
a-ga+d 1: [1 VBP] 
a-li+gt 1: [1 VBP] 
a-mende+t 1: [1 VBP] 
a-mesure+t 1: [1 VBP] 
a-moneste+t 1: [1 VBP] 
a-rise 1: [1 VBP] 
a-swike+d 1: [1 VBP] 
a-swint 1: [1 VBP] 
a-vaunte+t 1: [1 VBP] 
a-wakeni+d 1: [1 VBP] 
abate 1: [1 VBP] 
abateth 1: [1 VBP] 
abaundoneth 2: [2 VBP] 
abbe 2: [2 HVP] 
abbet 1: [1 HVP] 
abbot 1: [1 VBP] 
abere+d 1: [1 VBP] 
abide 5: [5 VBP] 
abide+d 3: [3 VBP] 
abide+t 4: [4 VBP] 
abiden 5: [5 VBP] 
abideth 1: [1 VBP] 
abidi+t 1: [1 VBP] 
abit 4: [4 VBP] 
abitt 1: [1 VBP] 
ablende+d 1: [1 VBP] 
ablent 2: [2 VBP] 
ablinda+d 1: [1 VBP] 
ablinde+d 2: [2 VBP] 
aboundith 1: [1 VBP] 
abowndone 1: [1 VBP] 
abstynen 1: [1 VBP] 
abugen 1: [1 VBP] 
abugest 1: [1 VBP] 
abugge 1: [1 VBP] 
abyde 5: [5 VBP] 
abyde+t 3: [3 VBP] 
abyden 5: [5 VBP] 
abydest 1: [1 VBP] 
abydeth 1: [1 VBP] 
abydist 1: [1 VBP] 
abydy+te 1: [1 VBP] 
abydyth 4: [4 VBP] 
abyen 1: [1 VBP] 
abyt 2: [2 VBP] 
ac+th 1: [1 VBP] 
accepten 1: [1 VBP] 
accompte 1: [1 VBP] 
accorde 5: [5 VBP] 
accorden 2: [2 VBP] 
accordes 1: [1 VBP] 
accordest 1: [1 VBP] 
accordeth 7: [7 VBP] 
accordis 2: [2 VBP] 
accordith 1: [1 VBP] 
accuse 1: [1 VBP] 
accuse+t 1: [1 VBP] 
accusest 1: [1 VBP] 
accusith 1: [1 VBP] 
ach $ach 2: [2 VBP] 
ach+gen 1: [1 VBP] 
acomplise 1: [1 VBP] 
acoordith 1: [1 VBP] 
acord 1: [1 VBP] 
acorde 4: [4 VBP] 
acorde+t 5: [5 VBP] 
acordedist 1: [1 VBP] 
acorden 7: [7 VBP] 
acordes 1: [1 VBP] 
acordeth 1: [1 VBP] 
acordi+t 1: [1 VBP] 
acordith 7: [7 VBP] 
acordyth 1: [1 VBP] 
acorse+t 1: [1 VBP] 
acquyten 1: [1 VBP] 
acse+d 2: [2 VBP] 
acse+t 14: [14 VBP] 
acursen 1: [1 VBP] 
acwenche+d 9: [9 VBP] 
acwike+d 1: [1 VBP] 
acwikie+d 1: [1 VBP] 
acxy 1: [1 VBP] 
adden 2: [2 VBP] 
addeth 1: [1 VBP] 
addi+t 1: [1 VBP] 
addith 2: [2 VBP] 
addle+t+t 1: [1 VBP] 
adeade+d 2: [2 VBP] 
adrade 1: [1 VBP] 
adraynk+t 1: [1 VBP] 
adrenche+d 1: [1 VBP] 
adrenche+t 1: [1 VBP] 
adreng+t 1: [1 VBP] 
adru+ge+d 1: [1 VBP] 
adru+geden 1: [1 VBP] 
adweole+d 1: [1 VBP] 
adylege 1: [1 VBP] 
afalle+d 1: [1 VBP] 
aferme 1: [1 VBP] 
aferrse+d 1: [1 VBP] 
aferse+d 1: [1 VBP] 
affermen 2: [2 VBP] 
affermith 2: [2 VBP] 
affie 1: [1 VBP] 
affie+t 1: [1 VBP] 
affien 4: [4 VBP] 
affirmeth 1: [1 VBP] 
afforce 1: [1 VBP] 
afforces 2: [2 VBP] 
affye 2: [2 VBP] 
afien 1: [1 VBP] 
aflei+ge+d 1: [1 VBP] 
afo 1: [1 VBP] 
aga+d 1: [1 VBP] 
agasteth 1: [1 VBP] 
agayne-say 1: [1 VBP] 
agea+d 1: [1 VBP] 
ageaste+d 1: [1 VBP] 
aged 1: [1 VBP] 
agelt 3: [3 VBP] 
agelte+t 2: [2 VBP] 
aggreggeth 1: [1 VBP] 
aghte 1: [1 VBP] 
agilt 1: [1 VBP] 
agilte 2: [2 VBP] 
agilte+d 1: [1 VBP] 
agilten 1: [1 VBP] 
agray+te+t 2: [2 VBP] 
agre` 1: [1 VBP] 
agree 1: [1 VBP] 
agreggen 2: [2 VBP] 
agrey+te+t 1: [1 VBP] 
agult 1: [1 VBP] 
agulte 1: [1 VBP] 
agulte+d 2: [2 VBP] 
agultes 1: [1 VBP] 
agultest 2: [2 VBP] 
agultet 1: [1 VBP] 
agwilge+d 1: [1 VBP] 
ah 3: [3 VBP] 
ahef 1: [1 VBP] 
ahte 1: [1 VBP] 
aier 1: [1 BEP] 
ak+t 1: [1 VBP] 
ake 2: [2 VBP] 
ake+d 4: [4 VBP] 
akeaste+d 1: [1 VBP] 
akelde+d 1: [1 VBP] 
aken 1: [1 VBP] 
akse+t 5: [5 VBP] 
alarge 1: [1 VBP] 
alde+d 1: [1 VBP] 
alde+t 1: [1 VBP] 
alegga+d 1: [1 VBP] 
alegge 2: [2 VBP] 
aleme+d 3: [3 VBP] 
aleome+d 1: [1 VBP] 
aleosen 1: [1 VBP] 
alese+d 2: [2 VBP] 
ali+d 7: [7 VBP] 
ali+gte+t 1: [1 VBP] 
aliese 1: [1 VBP] 
alihte 1: [1 VBP] 
alime+d 1: [1 VBP] 
allegge 1: [1 VBP] 
alleggen 1: [1 VBP] 
alleye+t 3: [3 VBP] 
allowe+t 2: [2 VBP] 
alowe+te 1: [1 VBP] 
alto-breket 1: [1 Q+VBP] 
alto-cleue+t 1: [1 VBP] 
alum+d 1: [1 VBP] 
aly+gt 6: [6 VBP] 
aly+gtest 1: [1 VBP] 
am $am 531: [531 BEP] 
ame 3: [3 BEP] 
amend 4: [4 VBP] 
amende 11: [11 VBP] 
amende+t 1: [1 VBP] 
amenden 1: [1 VBP] 
amendeth 2: [2 VBP] 
amendis 1: [1 VBP] 
amendyth 1: [1 VBP] 
amenuse 1: [1 VBP] 
amenuse+t 1: [1 VBP] 
amenuseth Amenuseth 3: [3 VBP] 
amenusith 1: [1 VBP] 
amerra+d 1: [1 VBP] 
amerrad 1: [1 VBP] 
amerre 1: [1 VBP] 
amm Amm 27: [27 BEP] 
amonechen 1: [1 VBP] 
amoneste+t 4: [4 VBP] 
amonesteth 2: [2 VBP] 
amonysch 3: [3 VBP] 
amonyschen 1: [1 VBP] 
amounteth 1: [1 VBP] 
amountith 3: [3 VBP] 
amuntet 1: [1 VBP] 
