Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;26.5;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.8;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;26.8;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;26.9;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.9;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;26.9;%spl_present;%romance;2%;%prep_intransitive
CMAELR3-M23;26.14;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;26.15;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.15;%spl_present;%romance;3%;%transitive
CMAELR3-M23;26.15;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.16;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;26.18;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.18;%spl_present;%germanic;%1half;%prep_intransitive
CMAELR3-M23;26.18;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.19;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;26.21;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;26.22;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;26.23;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;27.3;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.31;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.32;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.33;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.34;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.34;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;27.38;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.4;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.41;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;27.42;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.43;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.47;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;27.47;%spl_present;%romance;2%;%transitive
CMAELR3-M23;27.47;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;27.47;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;27.48;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;27.48;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.51;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.51;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;27.51;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;27.51;%spl_present;%romance;2%;%transitive
CMAELR3-M23;28.53;%spl_present;%blended;1%;%transitive
CMAELR3-M23;28.56;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;28.57;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;28.66;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;28.68;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;29.78;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;29.78;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;29.79;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;29.79;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;29.82;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;29.9;%spl_present;%romance;2%;%transitive
CMAELR3-M23;29.92;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;29.93;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;29.94;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;30.119;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;30.119;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;30.121;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;30.123;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;30.124;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;30.125;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;30.13;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;30.13;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;31.132;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;31.132;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;31.134;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;31.135;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;31.14;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;31.14;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;31.14;%spl_present;%germanic;1%;%intransitive
