/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Wed May 19 10:58:09 BRT 2021

command file:     verblex4.q
output file:      ../output_files/verblex4.out

Lexicon:  
*/

/*  ~A~  */
a+genstonding 1: [1 ADV+VAG] 
a-bydynge 1: [1 VAG] 
a-cordyng 2: [2 VAG] 
a-greyng 1: [1 VAG] 
a-noiand 1: [1 VAG] 
a-peryng 1: [1 VAG] 
abidand 1: [1 VAG] 
abidyng 1: [1 VAG] 
abidynge 2: [2 VAG] 
ablyng 1: [1 VAG] 
abreggynge 1: [1 VAG] 
abydande 1: [1 VAG] 
abydinge 1: [1 VAG] 
abydynge 2: [2 VAG] 
abydyngge 2: [2 VAG] 
according 1: [1 VAG] 
accordyng 4: [4 VAG] 
accordynge 8: [8 VAG] 
accusyng 2: [2 VAG] 
acordand 1: [1 VAG] 
acording 2: [2 VAG] 
acordyng 18: [18 VAG] 
acordynge $acordynge 3: [3 VAG] 
addyng 1: [1 VAG] 
adoynge 1: [1 VAG] 
afermynge 1: [1 VAG] 
affermande 1: [1 VAG] 
akinde 1: [1 VAG] 
al-wealdent 5: [5 Q+VAG] 
alargyng 1: [1 VAG] 
aleastinde 1: [1 VAG] 
alegging 1: [1 VAG] 
ali+gtand 1: [1 VAG] 
allw+aldennd Allw+aldennd 5: [5 Q+VAG] 
alwealdinde 1: [1 Q+VAG] 
amblynge 1: [1 VAG] 
amendand 1: [1 VAG] 
amendyng 1: [1 VAG] 
amendynge 1: [1 VAG] 
anbidende 1: [1 VAG] 
anchiterrinde 1: [1 D+VAG] 
anedande 1: [1 VAG] 
anhwilinde 1: [1 VAG] 
anoiand 2: [2 VAG] 
answerand 1: [1 VAG] 
answeryng 13: [13 VAG] 
answerynge 1: [1 VAG] 
aperteynyng 1: [1 VAG] 
aperyng 2: [2 VAG] 
appering 1: [1 VAG] 
apperyng 1: [1 VAG] 
appreuyng 1: [1 VAG] 
arisand 3: [3 VAG] 
ariseand 1: [1 VAG] 
arizinge 1: [1 VAG] 
ascendinge 1: [1 VAG] 
ascendyng 3: [3 VAG] 
askand 1: [1 VAG] 
askande 1: [1 VAG] 
asking 1: [1 VAG] 
askyng 5: [5 VAG] 
askynge 1: [1 VAG] 
assailyng 1: [1 VAG] 
assending 1: [1 VAG] 
assentynge 2: [2 VAG] 
aunswering 1: [1 VAG] 
axinge 3: [3 VAG] 
axyng 2: [2 VAG] 
axynge 2: [2 VAG] 
ay-lastande Ay-lastande 3: [2 VAG] [1 ADV+VAG] 
/*  ~B~  */
b+arnende 1: [1 VAG] 
b+arnennde 1: [1 VAG] 
bacbitand 1: [1 VAG] 
bakbytyng 1: [1 VAG] 
baptisinge 1: [1 VAG] 
baptisyng 1: [1 VAG] 
baptisynge 2: [2 VAG] 
barnende 2: [2 VAG] 
barninde 2: [2 VAG] 
be+tenkyngge 1: [1 VAG] 
bearneacninde 1: [1 VAG] 
bearninde 6: [6 VAG] 
bearninnde 1: [1 VAG] 
befor-seyd 1: [1 ADV+VAG] 
beggand 1: [1 VAG] 
begynnynge 1: [1 VAG] 
behaldande 3: [3 VAG] 
beheldyng 3: [3 VAG] 
behestyng 2: [2 VAG] 
beholdyng 2: [2 VAG] 
beholdynge 7: [7 VAG] 
behotynge 1: [1 VAG] 
bendand 1: [1 VAG] 
beornind 1: [1 VAG] 
beorninde 1: [1 VAG] 
ber 1: [1 VAG] 
berand $berand 5: [5 VAG] 
berande 1: [1 VAG] 
beriing 1: [1 VAG] 
berinde 1: [1 VAG] 
bering 1: [1 VAG] 
beringe 1: [1 VAG] 
bernende 1: [1 VAG] 
berninde $berninde 10: [10 VAG] 
bernynde 2: [2 VAG] 
beryng 12: [12 VAG] 
berynge 5: [5 VAG] 
beryngge 2: [2 VAG] 
besechinge 1: [1 VAG] 
besechyng 2: [2 VAG] 
besechynge 1: [1 VAG] 
besechyngge 2: [2 VAG] 
betakenande 1: [1 VAG] 
betende 1: [1 VAG22] 
betrayenge 1: [1 VAG] 
beyng 1: [1 VAG] 
beyngge 2: [2 VAG] 
bi 1: [1 VAG21] 
bi+tenchand 3: [3 VAG] 
bi-+tenchand 8: [8 VAG] 
bi-stonding 1: [1 VAG] 
biddinde 1: [1 VAG] 
biforegoyng 1: [1 ADV+VAG] 
biggand 1: [1 VAG] 
biggeand 1: [1 VAG] 
bileuynge 1: [1 VAG] 
birewsinde 1: [1 VAG] 
birling 1: [1 VAG] 
birnende 2: [2 VAG] 
bisechand 1: [1 VAG] 
bisegynge 2: [2 VAG] 
bisekynge 1: [1 VAG] 
bitinde 1: [1 VAG] 
bitunde 1: [1 VAG] 
bitynge 1: [1 VAG] 
blaberynge 1: [1 VAG] 
blasyng 1: [1 VAG] 
blasynge 4: [4 VAG] 
blawende 1: [1 VAG] 
bledande 1: [1 VAG] 
bledyng 4: [4 VAG] 
blemysand 1: [1 VAG] 
blessynge 1: [1 VAG] 
blikinde 2: [2 VAG] 
blisceand 1: [1 VAG] 
bliscing 1: [1 VAG] 
blodlettinde 1: [1 VAG] 
blowinde 1: [1 VAG] 
blowyng 1: [1 VAG] 
blyssyng 1: [1 VAG] 
bobbyng 1: [1 VAG] 
